psu,finwgt,stratum,Qn1,Qn2,Qn3,ECIGT,ECIGAR,ESLT,EELCIGT,EROLLCIGTS,EFLAVCIGTS,EBIDIS,EFLAVCIGAR,EHOOKAH,EPIPE,ESNUS,EDISSOLV,CCIGT,CCIGAR,CSLT,CELCIGT,CROLLCIGTS,CFLAVCIGTS,CBIDIS,CHOOKAH,CPIPE,CSNUS,CDISSOLV
015438,216.726790254,BR3,10,2,7,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,324.962044978,BR3,9,1,7,1,1,2,1,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2
015438,324.962044978,BR3,10,1,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,397.155173202,BR3,10,1,7,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
015438,264.874520736,BR3,10,2,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,264.874520736,BR3,10,2,7,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,397.155173202,BR3,10,1,7,1,1,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
015438,264.874520736,BR3,10,2,7,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,324.962044978,BR3,10,1,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,216.726790254,BR3,10,2,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,216.726790254,BR3,10,2,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,264.874520736,BR3,10,2,7,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,324.962044978,BR3,10,1,7,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,216.726790254,BR3,10,2,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,216.726790254,BR3,10,2,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,397.155173202,BR3,10,1,7,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,216.726790254,BR3,9,2,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,264.874520736,BR3,10,2,7,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,1427.095661535,BR3,7,2,5,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,1427.095661535,BR3,7,2,5,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,1615.000318226,BR3,9,2,5,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2
015438,1384.636940254,BR3,7,1,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,1427.095661535,BR3,9,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,1566.95108773,BR3,9,1,5,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,1427.095661535,BR3,8,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,1384.636940254,BR3,7,1,5,1,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,660.873076684,BR3,7,2,5,2,1,2,1,2,2,2,2,1,2,2,2,2,1,2,1,1,2,2,2,2,2,2
015438,980.006050496,BR3,8,2,5,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
