psu,finwgt,stratum,Q1,Q2,Q3,ECIGT,ECIGAR,ESLT,EELCIGT,EHOOKAH,EROLLCIGTS,EPIPE,ESNUS,EDISSOLV,EBIDIS,EHTP,CCIGT,CCIGAR,CSLT,CELCIGT,CHOOKAH,CROLLCIGTS,CPIPE,CSNUS,CDISSOLV,CBIDIS,CHTP,Q40,Q62A,Q62B,Q62C,Q62D,Q62E,Q62F,Q62G
58123,159.20548355,HR4,7,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,.S,.S,.S,.S,.S,.S,.S,.S
58123,150.69361971,HR4,8,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,.S,.S,.S,.S,.S,.S,.S,.S
58123,150.69361971,HR4,6,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,.S,.S,.S,.S,.S,.S,.S,.S
58123,150.69361971,HR4,6,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,.S,.S,.S,.S,.S,.S,.S,.S
58123,221.29048112,HR4,7,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,.S,.S,.S,.S,.S,.S,.S,.S
58123,159.20548355,HR4,7,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,.S,.S,.S,.S,.S,.S,.S,.S
58123,159.20548355,HR4,6,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,.S,.S,.S,.S,.S,.S,.S,.S
58123,150.69361971,HR4,7,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,.S,.S,.S,.S,.S,.S,.S,.S
58123,221.29048112,HR4,6,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,.S,.S,.S,.S,.S,.S,.S,.S
58123,150.69361971,HR4,7,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,.S,.S,.S,.S,.S,.S,.S,.S
58123,150.69361971,HR4,7,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,.S,.S,.S,.S,.S,.S,.S,.S
58123,233.78997809,HR4,7,2,4,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,.S,.S,.S,.S,.S,.S,.S,.S
58123,150.69361971,HR4,6,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,.S,.S,.S,.S,.S,.S,.S,.S
58123,150.69361971,HR4,6,1,4,2,2,2,2,2,2,2,2,2,2,M,2,2,2,2,2,2,2,2,2,2,2,.S,.S,.S,.S,.S,.S,.S,.S
58123,159.20548355,HR4,7,2,4,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,.S,.S,.S,.S,.S,.S,.S,.S
58123,159.20548355,HR4,6,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,.S,.S,.S,.S,.S,.S,.S,.S
58123,150.69361971,HR4,7,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,.S,.S,.S,.S,.S,.S,.S,.S
58123,159.20548355,HR4,7,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,.S,.S,.S,.S,.S,.S,.S,.S
58123,150.69361971,HR4,7,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,.S,.S,.S,.S,.S,.S,.S,.S
58123,159.20548355,HR4,7,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,.S,.S,.S,.S,.S,.S,.S,.S
58123,159.20548355,HR4,6,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,.S,.S,.S,.S,.S,.S,.S,.S
58123,150.69361971,HR4,6,1,4,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,.S,.S,.S,.S,.S,.S,.S,.S
58123,150.69361971,HR4,8,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,.S,.S,.S,.S,.S,.S,.S,.S
58123,159.20548355,HR4,7,2,4,1,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,NA,NA,NA,NA,NA,NA,1
58123,159.20548355,HR4,7,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,.S,.S,.S,.S,.S,.S,.S,.S
58123,51.724942379,HR4,10,1,7,1,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,.S,.S,.S,.S,.S,.S,.S
58123,51.724942379,HR4,10,1,7,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,.S,.S,.S,.S,.S,.S,.S,.S
58123,155.3700421,HR4,7,2,5,1,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,.N,NA,NA,NA,NA,1,NA,NA
58123,94.789282885,HR4,9,1,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,.S,.S,.S,.S,.S,.S,.S,.S
58123,155.3700421,HR4,7,2,5,2,2,2,2,2,2,2,2,2,2,M,2,2,2,2,2,2,2,2,2,2,2,.S,.S,.S,.S,.S,.S,.S,.S
